Timestamp,Distance (cm)
2025-02-09 15:28:47,792.4550170898438
2025-02-09 15:28:48,792.4039916992188
2025-02-09 15:28:49,792.676025390625
2025-02-09 15:28:50,792.302001953125
2025-02-09 15:28:51,792.5399780273438
2025-02-09 15:28:52,792.1829833984375
2025-02-09 15:28:53,792.2680053710938
2025-02-09 15:28:55,792.2509765625
2025-02-09 15:28:56,792.43798828125
2025-02-09 15:28:57,792.2509765625
2025-02-09 15:28:58,792.3359985351562
2025-02-09 15:28:59,792.3189697265625
2025-02-09 15:29:00,792.030029296875
2025-02-09 15:29:01,792.2849731445312
2025-02-09 15:29:02,792.2509765625
2025-02-09 15:29:03,792.2680053710938
2025-02-09 15:29:05,792.35302734375
2025-02-09 15:29:06,792.2680053710938
2025-02-09 15:29:07,792.3359985351562
